title,stars,price,book_stars,author,book_url,books_pages
よくわかる Access 2021 基礎 Office 2021/Microsoft 365対応,2,2079,4.5,"
門脇香奈子 
(著),  
",https://www.amazon.co.jp/-/en/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%AF%8C%E5%A3%AB%E9%80%9A%E3%83%A9%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2-ebook/dp/B0BVDSCH9J,0
決定版 コンピュータサイエンス図鑑,77,2200,4.0,"
西沢 夢路 
(著) 
",https://www.amazon.co.jp/-/en/%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB-%E3%82%AF%E3%82%A4%E3%82%B0%E3%83%AA%E3%83%BC/dp/4422414208,255 pages
ゲームから学ぶAI ——環境シミュレータ×深層強化学習で広がる世界 Tech × Books plus,16,2822,4.0,"
竹澤 有貴 
(著),  
",https://www.amazon.co.jp/-/en/%E8%A5%BF%E7%94%B0-%E5%9C%AD%E4%BB%8B-ebook/dp/B0B69W9P8J,483 pages
[改訂第3版]Jenkins実践入門 ――ビルド・テスト・デプロイを自動化する技術 (WEB+DB PRESS plus),38,3278,4.2,"
ネイト・シルバー 
(著),  
",https://www.amazon.co.jp/-/en/%E4%BD%90%E8%97%A4-%E8%81%96%E8%A6%8F/dp/4774189286,416 pages
学生・研究者のための 使える!PowerPointスライドデザイン 伝わるプレゼン1つの原理と3つの技術,116,1980,4.5,"
奥野 幹也 
(著) 
",https://www.amazon.co.jp/-/en/%E5%AE%AE%E9%87%8E-%E5%85%AC%E6%A8%B9/dp/4759811753,140 pages
Tableauユーザーのための伝わる! わかる! データ分析×ビジュアル表現トレーニング ~演習で身につく実践的な即戦力スキル~,35,2640,4.3,"
中山清喬 
(著),  
",https://www.amazon.co.jp/-/en/%E6%9D%BE%E5%B3%B6-%E4%B8%83%E8%A1%A3/dp/4798169919,200 pages
AWS認定資格 ソリューションアーキテクト-アソシエイトの試験対策から学ぶ！超クラウド入門書【SAA-C03】: IT資格試験学習サイト「Ping-t」の最強WEB問題集を活用したインフラエンジニア登竜門資格の独学勉強法を徹底解説！,48,2970,4.2,"
富士通エフ・オー・エム株式会社 (FOM出版) 
(著) 
",https://www.amazon.co.jp/-/en/%E3%81%AA%E3%81%8C%E3%81%9F%E3%81%8D/dp/B0BSJLKGR3,522 pages
前処理大全[データ分析のためのSQL/R/Python実践テクニック],100,3300,4.3,"
山森 丈範 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9C%AC%E6%A9%8B-%E6%99%BA%E5%85%89/dp/4774196479,336 pages
はじめてのデータサイエンス,2,2090,4.4,"
アシスト教育部 
(著) 
",https://www.amazon.co.jp/-/en/%E6%BB%8B%E8%B3%80%E5%A4%A7%E5%AD%A6%E3%83%87%E3%83%BC%E3%82%BF%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9%E5%AD%A6%E9%83%A8/dp/4780611024,208 pages
VBAエキスパート公式テキスト Access VBAスタンダード,24,3520,4.2,"
大和総研フロンティア研究開発センター 
(著) 
",https://www.amazon.co.jp/-/en/%E6%AD%A6%E8%97%A4-%E7%8E%84/dp/4908327149,283 pages
Pythonで儲かるAIをつくる,244,3190,4.1,"
朝井 淳 
(著) 
",https://www.amazon.co.jp/-/en/%E8%B5%A4%E7%9F%B3-%E9%9B%85%E5%85%B8/dp/4296106961,392 pages
(模擬問題付き)改訂新版 徹底攻略 AWS認定 ソリューションアーキテクト − アソシエイト教科書[SAA-C02]対応,216,2618,4.3,"
きたみあきこ 
(著) 
",https://www.amazon.co.jp/-/en/%E9%B3%A5%E8%B0%B7%E9%83%A8-%E6%98%AD%E5%AF%9B/dp/4295010650,264 pages
